"B000F83SZQ";"8";"4.2500";"34"
"B000FA64PA";"5";"4.2000";"21"
"B000FA64PK";"8";"4.3750";"35"
"B000FA64QO";"5";"3.8000";"19"
"B000FBFMVG";"9";"4.3333";"39"
"B000FC1BN8";"9";"3.4444";"31"
"B000FC1TG2";"6";"5.0000";"30"
"B000FC26RI";"6";"4.1667";"25"
"B000FC2MB8";"8";"4.6250";"37"
"B000FDJ0FS";"15";"2.4667";"37"
"B000GFK7L6";"22";"3.4091";"75"
"B000HA4FKY";"6";"4.0000";"24"
"B000HC48T0";"7";"3.8571";"27"
"B000JMKNQ0";"10";"3.8000";"38"
"B000JMKU0Y";"14";"3.9286";"55"
"B000JMKX4W";"11";"3.5455";"39"
"B000JMKXYW";"11";"4.0909";"45"
"B000JML1QG";"19";"4.0000";"76"
"B000JML2H4";"5";"3.8000";"19"
"B000JML5JY";"5";"4.4000";"22"
"B000JMLBHU";"108";"4.2963";"464"
"B000JMLG4S";"5";"4.4000";"22"
"B000JMLHFG";"9";"3.6667";"33"
"B000JMLHYC";"23";"4.2609";"98"
"B000JMLLOI";"5";"4.6000";"23"
"B000JQU8GQ";"8";"4.1250";"33"
"B000JQURFI";"7";"4.1429";"29"
"B000JQUSBQ";"13";"3.9231";"51"
"B000JQUT8S";"18";"4.3889";"79"
"B000JQUTGK";"6";"4.5000";"27"
"B000JQUU00";"15";"3.7333";"56"
"B000JQUXBQ";"5";"4.0000";"20"
"B000MAH6G4";"7";"4.7143";"33"
"B000MAH73Q";"8";"4.0000";"32"
"B000MAH8NU";"5";"4.0000";"20"
"B000MV9B66";"5";"3.4000";"17"
"B000N8V3EQ";"7";"4.0000";"28"
"B000N8V3FA";"9";"4.4444";"40"
"B000N8V468";"10";"3.8000";"38"
"B000NJL7Y6";"24";"4.6667";"112"
"B000NY11RY";"13";"4.3077";"56"
"B000OI0FGC";"6";"5.0000";"30"
"B000OI11GK";"6";"5.0000";"30"
"B000PATZGK";"6";"3.8333";"23"
"B000PDZG6K";"6";"4.8333";"29"
"B000PIT0RG";"10";"3.8000";"38"
"B000Q6Z64S";"6";"4.3333";"26"
"B000Q9J0CO";"5";"4.0000";"20"
"B000Q9J0CY";"5";"4.2000";"21"
"B000QCS8YM";"5";"5.0000";"25"
"B000QFOD8E";"8";"3.5000";"28"
"B000QUCOB2";"7";"4.2857";"30"
"B000R3NNAE";"9";"4.4444";"40"
"B000R93D4Y";"50";"3.9600";"198"
"B000R93D8U";"8";"3.5000";"28"
"B000R93DEO";"14";"3.2857";"46"
"B000R93DJE";"7";"3.5714";"25"
"B000R93DPS";"5";"4.6000";"23"
"B000R93DQC";"6";"4.5000";"27"
"B000R93DW6";"7";"4.7143";"33"
"B000R93E3E";"14";"4.4286";"62"
"B000SEGE3K";"7";"4.7143";"33"
"B000SIZG8A";"5";"3.6000";"18"
"B000SN6IOQ";"17";"4.0000";"68"
"B000SRGF2W";"11";"3.5455";"39"
"B000SRGFEU";"7";"4.1429";"29"
"B000SWV6HG";"17";"4.2941";"73"
"B000TU16PE";"5";"4.2000";"21"
"B000U0NSV8";"17";"4.2941";"73"
"B000UB9NCK";"6";"3.8333";"23"
"B000UH5Z0I";"5";"3.8000";"19"
"B000UH5Z3A";"5";"5.0000";"25"
"B000UHAFGM";"9";"4.5556";"41"
"B000UMZMK6";"7";"3.5714";"25"
"B000UMZMME";"10";"4.2000";"42"
"B000UMZMP6";"5";"4.0000";"20"
"B000VKVZP8";"7";"4.5714";"32"
"B000VKVZQM";"8";"3.6250";"29"
"B000VLCVAU";"5";"3.4000";"17"
"B000VWM0KU";"12";"4.6667";"56"
"B000VXV7K8";"6";"4.6667";"28"
"B000W4RFNO";"11";"3.8182";"42"
"B000W915JE";"11";"4.5455";"50"
"B000W93AHO";"5";"4.2000";"21"
"B000WCWUWM";"21";"3.5238";"74"
"B000WCWV30";"6";"4.5000";"27"
"B000WCWVN0";"6";"4.0000";"24"
